en_word;tr_meaning;pos;example_en;example_tr;synonyms_raw;antonyms_raw;level;tags_raw;notes
consultancy;danışmanlık;n.;He works as an IT consultant for a consultancy firm.;Bir danışmanlık firmasında BT danışmanı olarak çalışıyor.;"advisory service; consulting; agency";-;B2;"noun; vocabulary";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
consultant;danışman;n.;She is a management consultant.;Yönetim danışmanıdır.;"adviser; expert; specialist";-;B1;"noun; vocabulary";Orta seviye kelime. Genel iletişimde kullanılır.
consultation;konsültasyon, danışma;n.;The doctors held a consultation to discuss the best treatment options for the patient.;Doktorlar, hasta için en iyi tedavi seçeneklerini görüşmek üzere bir konsültasyon yaptı.;"meeting; discussion; conference; appointment";-;B2;"noun; vocabulary";Tavsiye veya bilgi almak için yapılan toplantı.
consultative;danışma ile ilgili;adj.;The committee has a consultative role.;Komitenin danışma rolü vardır.;"advisory; consulting; recommending";-;C1;"adjective; description; advanced";İleri seviye kelime. Akademik metinlerde ve resmi yazışmalarda kullanılır.
consumable;tüketilir;adj.;Batteries are a consumable item and will need to be replaced regularly.;Piller, sarf malzemesidir ve düzenli olarak değiştirilmeleri gerekecektir.;"expendable; replaceable";"durable; lasting";B2;"adjective; description";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
consume;tüketmek;v.;Americans consume a huge amount of energy every single year, more than most other countries combined.;Amerikalılar her yıl, diğer ülkelerin çoğunun toplamından daha fazla olmak üzere çok büyük miktarda enerji tüketiyor.;"use; eat";"save; conserve";B1;"verb; action";Orta seviye kelime. Genel iletişimde kullanılır.
consumer;tüketici;n.;Consumer demand for electric cars is growing rapidly.;Elektrikli arabalara yönelik tüketici talebi hızla artıyor.;"buyer; purchaser; user";"producer; seller";A2;"noun; vocabulary; basic";Temel-orta seviye kelime. Günlük konuşmalarda yaygındır.
consumption;tüketim;n.;The medical doctor clearly warned the patient about his dangerously high daily consumption of sweet sugar.;Tıp doktoru hastayı tehlikeli derecede yüksek olan günlük tatlı şeker tüketimi konusunda açıkça uyardı.;eating, using up;production, saving;B2;"noun; vocabulary";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
disguise;"kılık değiştirmek, gizlenmek; gizlemek, saklamak; kılık değiştirme";"n.;v.";The spy managed to disguise himself as a janitor to enter the secure building unnoticed.;Casus, fark edilmeden güvenlikli binaya girmek için kendini hademe olarak gizlemeyi başardı.;"conceal; camouflage; mask";"reveal; expose; unmask";B2;"noun; vocabulary";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
contain;içermek, kapsamak;v.;The mysterious package found at the airport was found to contain a number of prohibited and dangerous items.;Havalimanında bulunan gizemli paketin, bir dizi yasaklanmış ve tehlikeli madde içerdiği tespit edildi.;"hold; include";"exclude; lack";A2;"verb; action; basic";Temel-orta seviye kelime. Günlük konuşmalarda yaygındır.
contaminate;kirletmek;v.;The chemical plant was found to have contaminated the local river with toxic waste, killing thousands of fish and making the water unsafe for drinking.;Kimya fabrikasının, yerel nehri zehirli atıklarla kirleterek binlerce balığı öldürdüğü ve suyu içilmez hale getirdiği tespit edildi.;pollute, taint, poison;purify, clean;B2;"verb; action";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
contaminated;kirlenmiş;adj.;The perfectly healthy villagers were strongly warned absolutely not to drink from the highly dangerously contaminated dirty river.;Tamamen sağlıklı olan köylüler son derece tehlikeli derecede kirlenmiş kirli nehirden kesinlikle su içmemeleri konusunda güçlü bir şekilde uyarıldılar.;polluted, infected;clean, pure;C1;"adjective; description; advanced";İleri seviye kelime. Akademik metinlerde ve resmi yazışmalarda kullanılır.
contamination;kirlenme;n.;The water supply is at risk of contamination.;Su kaynağı kirlenme riski altında.;"pollution; infection";purification;B2;"noun; vocabulary";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
contemporary;çağdaş;adj.;The museum has an impressive collection of both classical and contemporary art from around the world.;Müze, dünyanın dört bir yanından hem klasik hem de çağdaş sanattan oluşan etkileyici bir koleksiyona sahiptir.;"modern; current; present-day";"old; ancient; outdated";B2;"adjective; description";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
contempt;"küçümseme, aşağılama, hor görme; itaatsizlik, önemsememe (kanun, kural vb.)";n.;She looked at the mess they had made with obvious contempt, wondering how anyone could be so careless and disrespectful of shared spaces.;Yaptıkları dağınıklığa açık bir küçümsemeyle baktı, birisinin ortak alanlara nasıl bu kadar dikkatsiz ve saygısız olabileceğini merak etti.;"scorn; disdain; disrespect";"respect; admiration; esteem";C1;"noun; vocabulary; advanced";İleri seviye kelime. Akademik metinlerde ve resmi yazışmalarda kullanılır.
content;"içerik, muhteva, kapsam; memnun, hoşnut, razı";"n.;adj.";The content of the report was highly classified and not for public release.;Raporun içeriği son derece gizliydi ve kamuya açıklanacak türden değildi.;"satisfied; pleased; substance; material";"dissatisfied; unhappy; discontent";B2;"noun; vocabulary";Bir şeyin içindekiler veya tatmin olmuş hissetmek.
content with;ile yetinmek;"adj.;phr. v.";He is content with his simple life.;Basit hayatıyla yetiniyor.;"satisfied with; happy with";dissatisfied with;B2;"adjective; description";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
disgust;"iğrendirmek, tiksindirmek; iğrenme, tiksinme";"n.;v.";The way he treated his employees disgusted everyone who witnessed it.;Çalışanlarına davranış şekli, buna tanık olan herkesi iğrendirdi.;"repel; sicken; revulsion";"delight; please; attraction";B2;"noun; vocabulary";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
continent;Kıta;n.;Africa is the second largest continent in terms of both area and population.;Afrika, hem yüzölçümü hem de nüfus bakımından ikinci büyük kıtadır.;-;-;A2;"yds; yokdil; geography";Dünya üzerindeki büyük kara parçalarından biri.
continental;kıtasal;adj.;The weather in coastal areas is different from the continental climate.;Kıyı bölgelerindeki hava durumu, karasal iklimden farklıdır.;"mainland; terrestrial";"maritime; insular";B2;"adjective; description";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
continental drift;kıtaların kayması;n.;The theory of continental drift explains how the Earth's continents have moved over geological time.;Kıtasal sürüklenme teorisi, Dünya'nın kıtalarının jeolojik zaman içinde nasıl hareket ettiğini açıklar.;"plate tectonics; landmass movement";-;C1;"noun; vocabulary; advanced";Kıtaların Dünya yüzeyinde yavaşça hareket ettiği teorisi.
contingency;olasılık, ihtimal;n.;We must be prepared for any contingency.;Her türlü olasılığa hazırlıklı olmalıyız.;"possibility; eventuality; chance";-;C1;"noun; vocabulary; advanced";İleri seviye kelime. Akademik metinlerde ve resmi yazışmalarda kullanılır.
continual;"sürekli; devamlı";adj.;We have had continual problems with the computer system.;Bilgisayar sistemiyle sürekli sorunlar yaşıyoruz.;"constant; persistent; recurrent";"occasional; intermittent";B2;"adjective; description";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
continue;devam etmek;v.;Despite the heavy rain and strong winds, the determined hikers decided to continue their journey up the mountain.;Şiddetli yağmur ve kuvvetli rüzgara rağmen, kararlı yürüyüşçüler dağa doğru yolculuklarına devam etmeye karar verdiler.;"proceed; persist";"stop; cease";A2;"verb; action; basic";Temel-orta seviye kelime. Günlük konuşmalarda yaygındır.
continuously;sürekli olarak;adv.;We are continuously trying to balance.;Sürekli dengelemeye çalışıyoruz.;"constantly; always";occasionally;B2;"verb; action";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
dispatch;"sevk etmek, göndermek, yollamak; sevk, gönderme, yollama";"n.;v.";The company dispatched a team of engineers to the client's site immediately to fix the urgent problem with the newly installed machinery.;Şirket, yeni kurulan makinelerle ilgili acil sorunu çözmek için derhal bir mühendis ekibini müşterinin sahasına gönderdi.;"send; transmit; shipment";"receive; hold";C1;"noun; vocabulary; advanced";İleri seviye kelime. Akademik metinlerde ve resmi yazışmalarda kullanılır.
contradict;çelişmek, karşı çıkmak;v.;His most recent public statement completely and directly contradicts what he clearly said in the interview just last week.;En son kamuoyuna yaptığı açıklama, geçen hafta röportajda açıkça söyledikleriyle tamamen ve doğrudan çelişiyor.;"deny; oppose";"agree; confirm";C1;"verb; action; advanced";İleri seviye kelime. Akademik metinlerde ve resmi yazışmalarda kullanılır.
contradict with;ile çelişmek;phr. v.;His actions contradict with his words.;Eylemleri sözleriyle çelişiyor.;"conflict with; be inconsistent with";"agree with; match";B2;"verb; action";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
contradiction;çelişki, itiraz;n.;There is a contradiction in what he said.;Söylediklerinde bir çelişki var.;"inconsistency; conflict; disagreement";"agreement; consistency";B2;"noun; vocabulary";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
contradictory;çelişkili;adj.;The government's policies on crime are contradictory, as they simultaneously advocate for building more prisons and reducing the overall prison population through community service.;Hükümetin suç politikaları çelişkilidir, çünkü aynı anda hem daha fazla hapishane inşa etmeyi hem de toplum hizmeti yoluyla genel hapishane nüfusunu azaltmayı savunmaktadırlar.;conflicting, opposing, inconsistent;consistent, harmonious, compatible;B2;"adjective; description";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
contrary to;#AD?;prep.;Contrary to popular belief, not all scientists agree that this new technology is entirely safe for widespread public use.;Yaygın inanışın aksine, tüm bilim insanları bu yeni teknolojinin geniş çaplı kamu kullanımı için tamamen güvenli olduğu konusunda hemfikir değil.;"in contrast to; unlike";"similar to; like";B2;"preposition; grammar";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
contrast;zıtlık;n.;The beautiful sharp contrast between the bright white snow and the dark trees looks absolutely amazing.;Parlak beyaz kar ile koyu renkli ağaçlar arasındaki güzel ve keskin zıtlık kesinlikle harika görünüyor.;difference, opposite;similarity, resemblance;B2;"noun; vocabulary";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
contribute;katkıda bulunmak, sebep olmak;v.;Everyone is encouraged to contribute their ideas and suggestions during the team brainstorming session this afternoon.;Herkes, bu öğleden sonraki ekip beyin fırtınası oturumu sırasında fikir ve önerileriyle katkıda bulunmaya teşvik ediliyor.;"donate; add";"take; withhold";B2;"verb; action";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
contribute (to);katkıda bulunmak;v.;Hard work contributed to his success.;Sıkı çalışma başarısına katkıda bulundu.;"add; help";hinder;B1;"verb; action";Orta seviye kelime. Genel iletişimde kullanılır.
contribute to;katkıda bulunmak, sebep olmak;phr. v.;Regular exercise and a healthy diet contribute to a longer and more active life.;Düzenli egzersiz ve sağlıklı beslenme, daha uzun ve daha aktif bir yaşama katkıda bulunur.;"add to; lead to; be a factor in";"detract from; hinder";B2;"verb; action";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
contribution;katkı;n.;Your generous contribution to the charity will help many people in need.;Yardım kuruluşuna yaptığınız cömert katkı, ihtiyacı olan birçok insana yardımcı olacaktır.;"donation; addition; input";-;B1;"noun; vocabulary";Orta seviye kelime. Genel iletişimde kullanılır.
contributor;katılımcı, destekçi;n.;He is a regular contributor to several scientific journals.;Birkaç bilimsel dergiye düzenli olarak katkıda bulunan bir yazardır.;"donor; supporter; participant";-;B2;"noun; vocabulary";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
contributory;yardımcı, katkı sağlayan;adj.;Smoking is a contributory factor in many types of cancer.;Sigara, birçok kanser türünde katkıda bulunan bir faktördür.;"contributing; helping";-;B2;"adjective; description";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
control;kontrol etmek, denetlemek;v.;It is very difficult for one person to control such a large and diverse team without any help from others.;Bir kişinin, başkalarından herhangi bir yardım almadan bu kadar büyük ve çeşitlilik gösteren bir ekibi kontrol etmesi çok zordur.;"manage; direct";;B1;"verb; action";Orta seviye kelime. Genel iletişimde kullanılır.
controversial;tartışmalı;adj.;The decision to build a new highway through the national park was highly controversial and faced strong opposition from environmental groups.;Milli parkın içinden yeni bir otoyol inşa etme kararı oldukça tartışmalıydı ve çevre gruplarının güçlü muhalefetiyle karşılaştı.;disputed, contentious, debatable;uncontroversial, accepted;B2;"adjective; description";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
convenience;"kolaylık, uygunluk, elverişlilik; hayatı kolaylaştıran şey";n.;For the convenience of our customers, we offer free home delivery.;Müşterilerimizin kolaylığı için ücretsiz ev teslimatı sunuyoruz.;"ease; comfort; accessibility; benefit";"inconvenience; difficulty";B2;"noun; vocabulary";Hayatı kolaylaştıran durum veya araç.
convenient;"uygun, elverişli, rahat, pratik; yakın, ulaşımı kolay";adj.;The hotel is in a very convenient location, just a five-minute walk from the train station.;Otel, tren istasyonuna sadece beş dakikalık yürüme mesafesinde, çok uygun bir konumda.;"handy; suitable; accessible; opportune";"inconvenient; unsuitable";B2;"adjective; description";Az çaba gerektiren veya kolayca erişilebilen.
conventional;geleneksel, olağan, alışılagelmiş, konvansiyonel;adj.;They decided to build a house using conventional materials like brick and mortar instead of wood.;Ahşap yerine tuğla ve harç gibi geleneksel malzemeler kullanarak bir ev inşa etmeye karar verdiler.;"traditional; customary; standard; orthodox";"unconventional; innovative; modern";B2;"adjective; description";Toplumda kabul görmüş standart veya yaygın uygulamaları ifade eder.
conversation;sohbet, iletişim;n.;We had a long and interesting conversation about our travel experiences.;Seyahat deneyimlerimiz hakkında uzun ve ilginç bir sohbet ettik.;"talk; discussion; chat";-;A2;"noun; vocabulary; basic";Temel-orta seviye kelime. Günlük konuşmalarda yaygındır.
converse;konuşmak, sohbet etmek;v.;They sat in the café for hours, conversing about art and politics.;Saatlerce kafede oturdular, sanat ve siyaset hakkında sohbet ettiler.;"talk; speak; chat";-;B1;"verb; action";Orta seviye kelime. Genel iletişimde kullanılır.
conversely;aksine, tersine, zıttına;adv.;"Older people tend to prefer staying home in the evenings; conversely, young people often enjoy going out.";"Yaşlı insanlar akşamları evde kalmayı tercih ederler; aksine, gençler genellikle dışarı çıkmaktan hoşlanırlar.";"inversely; oppositely; contrariwise; on the other hand";"similarly; likewise";C1;"verb; action; advanced";Tam tersi bir şekilde.
conversion;dönüşüm, çevirme;n.;The conversion of the loft into a bedroom was expensive.;Tavan arasının yatak odasına dönüştürülmesi pahalıydı.;"change; transformation; adaptation";-;B2;"noun; vocabulary";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
convert;dönüştürmek, çevirmek;v.;The old factory was converted into a modern apartment complex, providing new housing for hundreds of families.;Eski fabrika, yüzlerce aile için yeni konut sağlayan modern bir apartman kompleksine dönüştürüldü.;change, transform, adapt;preserve, keep;B2;"verb; action";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
convert into;#AD?;phr. v.;They converted the barn into a house.;Ahırı eve dönüştürdüler.;"change into; transform into";-;B2;"verb; action";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
converter;dönüştürücü;n.;You need a currency converter to change dollars to euros.;Doları euroya çevirmek için bir döviz çeviriciye ihtiyacınız var.;"transformer; changer; adapter";-;B2;"noun; vocabulary";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
convertible;dönüştürülebilen;adj.;The sofa is convertible into a bed.;Koltuk yatağa dönüştürülebilir.;"adaptable; changeable; adjustable";"fixed; unconvertible";B2;"adjective; description";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
convey;iletmek, aktarmak;v.;It is often very difficult to convey complex emotions and subtle feelings through a simple text message or email.;Karmaşık duyguları ve ince hisleri basit bir kısa mesaj veya e-posta yoluyla iletmek genellike çok zordur.;communicate, transmit, express;;B2;"verb; action";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
distance;"mesafe, uzaklık; ara";"n.;v.";It's important to keep a safe distance from the car in front of you while driving.;Araba kullanırken önünüzdeki araçla güvenli bir mesafe bırakmak önemlidir.;"gap; space; interval";"proximity; closeness; nearness";B2;"noun; vocabulary";İki nokta arasındaki fiziksel uzunluk veya duygusal/soyut bir aralık.
conviction;"mahkumiyet, hüküm giydirme; inanç, kanaat, kanı";n.;He has a strong conviction that honesty is the best policy in all situations.;Dürüstlüğün her durumda en iyi yol olduğuna dair güçlü bir inancı var.;"belief; opinion; sentence; condemnation";"doubt; uncertainty; acquittal";B2;"noun; vocabulary";Kesin bir inanç veya bir suçtan mahkum olma.
convince;ikna etmek;v.;After hours of discussion, she finally managed to convince her parents to let her study abroad for a year.;Saatlerce süren tartışmanın ardından, nihayet ailesini bir yıl boyunca yurtdışında okumasına izin vermeleri için ikna etmeyi başardı.;persuade, sway, assure;dissuade, discourage;B2;"verb; action";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
convulsion;kasılma, spazm;n.;The patient's body was racked by violent convulsions as a result of the high fever and infection.;Hastanın vücudu, yüksek ateş ve enfeksiyon sonucu şiddetli kasılmalarla sarsılıyordu.;spasm, seizure, fit;-;C1;"noun; vocabulary; advanced";İleri seviye kelime. Akademik metinlerde ve resmi yazışmalarda kullanılır.
cooperate;işbirliği kurmak;v.;If we all cooperate, we can finish this task much more quickly.;Hepimiz işbirliği yaparsak, bu görevi çok daha hızlı bitirebiliriz.;"collaborate; work together; unite";"oppose; hinder";B1;"verb; action";Orta seviye kelime. Genel iletişimde kullanılır.
co-operate;Birlikte Çalışmak;v.;If we all co-operate, we can finish this project well before the deadline.;Hepimiz işbirliği yaparsak, bu projeyi son teslim tarihinden çok önce bitirebiliriz.;"collaborate; work together; unite";"compete; oppose; hinder";B2;"yds; yokdil; verbs";Ortak bir amaç için birlikte çalışmak.
cooperation;işbirliği;n.;The successful completion of the challenging community project required the full cooperation of all the local residents.;Zorlu topluluk projesinin başarıyla tamamlanması, tüm yerel sakinlerin tam işbirliğini gerektiriyordu.;collaboration, teamwork;opposition, hindrance;B1;"noun; vocabulary";Orta seviye kelime. Genel iletişimde kullanılır.
cooperation with;ile işbirliği;NP;We work in cooperation with the police.;Polisle işbirliği içinde çalışıyoruz.;"collaboration with; partnership with";opposition to;B2;"noun phrase; collocation";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
cooperative;iş birliği yapan;adj.;The staff are friendly and highly cooperative, making it a pleasant place to work.;Personel arkadaş canlısı ve son derece işbirlikçi, bu da çalışmak için keyifli bir yer haline getiriyor.;"helpful; collaborative; supportive";"uncooperative; obstructive";B2;"adjective; description";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
cooperatively;iş birliği yaparak;adv.;The two departments worked cooperatively to launch the new product.;İki departman, yeni ürünü piyasaya sürmek için işbirliği içinde çalıştı.;"jointly; together; collaboratively";"independently; separately";B2;"verb; action";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
cope;"Başa Çıkmak; Ayak Uydurmak";v.;It can be difficult to cope with the stress of a new job and moving to a new city.;Yeni bir işin stresiyle ve yeni bir şehre taşınmanın zorluklarıyla başa çıkmak zor olabilir.;"manage; handle; deal";"succumb; fail";B2;"yds; yokdil; verbs";Zor bir durumla başarılı bir şekilde baş etmek.
cope with;başa çıkmak;phr. v.;It can be challenging for young people to cope with the immense pressure of social media and academic expectations.;Gençlerin sosyal medyanın ve akademik beklentilerin getirdiği muazzam baskıyla başa çıkmaları zor olabilir.;"handle; manage; deal with";"succumb to; yield to";B2;"verb; action";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
copyright;telif hakkı;n.;The author retains the copyright to his book, which means no one can reproduce or distribute it without his explicit permission.;"Yazar, kitabının telif hakkını elinde tutar; bu, onun açık izni olmadan hiç kimsenin onu çoğaltamayacağı veya dağıtamayacağı anlamına gelir.";intellectual property, license;;B2;"noun; vocabulary";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
cordon;"Polis; Asker Kordonu";n.;The police placed a cordon around the area where the bomb was found.;Polis, bombanın bulunduğu alanın çevresine güvenlik kordonu çekti.;"barrier; line; ring";-;C1;"yds; yokdil; law enforcement";Bir alanı çevreleyen ve girişi engelleyen polis veya asker hattı.
core;çekirdek, öz;n.;The rocky core of the distant planet is mainly composed of heavy iron materials.;Uzak gezegenin kayalık çekirdeği temel olarak ağır demir materyallerden oluşmaktadır.;center, nucleus;surface, exterior;B2;"noun; vocabulary";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
cork;"Mantar; (Cork-Screw: Mantar Açacağı)";n.;He pulled the cork out of the wine bottle with a loud pop.;Şişenin mantarını yüksek bir pat sesiyle çıkardı.;"stopper; plug; bung";-;B2;"yds; yokdil; materials";Şişeleri kapatmak için kullanılan mantar ağacı kabuğundan yapılmış tıpa.
cornerstone;temel taşı;n.;Mutual trust and complete honesty usually form the absolute cornerstone of any wonderfully successful long marriage.;Karşılıklı güven ve tam bir dürüstlük genellikle harika derecede başarılı uzun bir evliliğin mutlak temel taşını oluşturur.;foundation, basis;-;C2;"noun; vocabulary; advanced";Üst düzey kelime. Uzman seviyesi metin anlama için gereklidir.
corporate;kurumsal;adj.;Corporate workplaces.;Kurumsal işyerleri.;"company; business";-;B2;"adjective; description";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
corpse;Ceset;n.;The detective examined the corpse for any clues about the cause of death.;Dedektif, ölüm nedeni hakkında herhangi bir ipucu için cesedi inceledi.;"body; remains; cadaver";-;C1;"yds; yokdil; law";Ölmüş bir insanın vücudu.
correlate;ilişkilendirmek, bağıntı kurmak;v.;Researchers have found that high levels of stress strongly correlate with an increased risk of developing heart disease and other serious health problems.;Araştırmacılar, yüksek stres seviyelerinin kalp hastalığı ve diğer ciddi sağlık sorunları geliştirme riskinin artmasıyla güçlü bir şekilde ilişkili olduğunu bulmuşlardır.;relate, connect, associate;;C1;"verb; action; advanced";İleri seviye kelime. Akademik metinlerde ve resmi yazışmalarda kullanılır.
correlation;korelasyon, karşılıklı ilişki;n.;Studies have shown a strong correlation between regular exercise and improved mental health.;Araştırmalar, düzenli egzersiz ile gelişmiş zihinsel sağlık arasında güçlü bir korelasyon olduğunu göstermiştir.;"connection; relationship; link";-;B2;"noun; vocabulary";İki veya daha fazla şey arasında var olan ve birindeki değişimin diğerinde de değişikliğe yol açtığı karşılıklı ilişki.
correspond;benzemek, haberleşmek;v.;"The two key witnesses' detailed accounts of the serious accident don't correspond with each other at all; there are major and significant differences between them.";"İki kilit tanığın ciddi kaza hakkındaki ayrıntılı ifadeleri birbiriyle hiç örtüşmüyor; aralarında büyük ve önemli farklılıklar var.";"match; communicate";"differ; contradict";B2;"verb; action";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
correspondent;"Mektuplaşan; Mektuba Cevap Veren; Muhabir";n.;She works as a foreign correspondent for a major news network in the Middle East.;Orta Doğu'da büyük bir haber ağı için yabancı muhabir olarak çalışıyor.;"reporter; journalist; writer";-;B2;"yds; yokdil; media";Haber toplayan ve yazan gazeteci, genellikle uzak bir yerden.
correspondingly;buna bağlı olarak, buna karşılık olarak, paralel olarak;adv.;If inflation rises, interest rates will correspondingly increase to control the economy.;Enflasyon yükselirse, ekonomiyi kontrol altına almak için faiz oranları da buna bağlı olarak artacaktır.;"accordingly; similarly; equally";"conversely; oppositely";C1;"verb; action; advanced";İleri seviye kelime. Akademik metinlerde ve resmi yazışmalarda kullanılır.
corridor;Koridor;n.;His hotel room was at the very end of the long, narrow corridor.;Otel odası, uzun ve dar koridorun en sonundaydı.;"hallway; passage; aisle";-;B1;"yds; yokdil; architecture";Bir binada odaları birbirine bağlayan geçit.
corrode;paslanmak, paslandırmak;v.;Salt water can quickly corrode the metal parts of a ship, causing significant damage if not treated.;Tuzlu su, bir geminin metal parçalarını hızla paslandırabilir ve tedavi edilmezse önemli hasara neden olabilir.;"rust; oxidize; deteriorate";-;B2;"verb; action";Kimyasal bir reaksiyonla, özellikle paslanarak, bir malzemeyi yavaş yavaş yok etmek.
corrupt;yozlaşmış, rüşvetçi;adj.;The corrupt official was arrested for accepting bribes in exchange for awarding government contracts to certain companies.;Yozlaşmış yetkili, bazı şirketlere hükümet sözleşmeleri vermek karşılığında rüşvet aldığı için tutuklandı.;dishonest, crooked, unethical;honest, ethical, upright;B2;"adjective; description";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
corruption;yolsuzluk, yozlaşma;n.;The new government promised to fight corruption and bring transparency to public institutions.;Yeni hükümet, yolsuzlukla mücadele edeceğine ve kamu kurumlarına şeffaflık getireceğine söz verdi.;"dishonesty; bribery; decay";"honesty; integrity; purity";B2;"noun; vocabulary";Gücün, genellikle para için, sahtekâr veya yasadışı yollarla kullanılması.
cosmetic;Kozmetik;"adj.;n.";She bought several cosmetic products, including lipstick and mascara.;Ruj ve maskara dahil birkaç kozmetik ürünü satın aldı.;"beauty; makeup; superficial";-;B1;"yds; yokdil; health";Görünümü iyileştirmek için kullanılan ürünler veya işlemler.
cost;mal olmak, tutmak;v.;The extensive renovations to the old house cost them far more money and time than they had originally anticipated.;Eski evdeki kapsamlı yenilemeler, onlara başlangıçta tahmin ettiklerinden çok daha fazla para ve zamana mal oldu.;"be priced at; require";;A2;"verb; action; basic";Temel-orta seviye kelime. Günlük konuşmalarda yaygındır.
costly;"pahalı; maliyetli";adj.;Making a mistake at this stage could be costly for the company.;Bu aşamada bir hata yapmak şirket için maliyetli olabilir.;"expensive; dear; pricey";"cheap; inexpensive; affordable";B2;"adjective; description";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
costume;Kostüm;n.;The actors wore authentic historical costumes for the period drama.;Aktörler, dönem draması için otantik tarihi kostümler giydiler.;"outfit; attire; dress";-;B1;"yds; yokdil; fashion";Belirli bir dönemi, karakteri veya kültürü temsil eden giysi.
count on;güvenmek, bel bağlamak;phr. v.;You can always count on your best friend to support you and be there for you in times of need.;Zor zamanlarda sana destek olması ve yanında olması için her zaman en iyi arkadaşına güvenebilirsin.;"rely on; depend on";"doubt; distrust; mistrust";B2;"verb; action";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
counter;karşı koymak, karşılık vermek;v.;The government introduced new measures to counter the rising threat of cyber attacks from organized criminal groups.;Hükümet, organize suç gruplarından gelen artan siber saldırı tehdidine karşı koymak için yeni önlemler getirdi.;oppose, resist, combat;support, aid, assist;C1;"verb; action; advanced";İleri seviye kelime. Akademik metinlerde ve resmi yazışmalarda kullanılır.
counteract;karşı koymak, etkisiz hale getirmek;v.;To counteract the negative effects of the medication, the doctor prescribed another drug that would alleviate the side symptoms.;İlacın olumsuz etkilerine karşı koymak için doktor, yan semptomları hafifletecek başka bir ilaç yazdı.;counter, neutralize, offset;-;C1;"verb; action; advanced";İleri seviye kelime. Akademik metinlerde ve resmi yazışmalarda kullanılır.
counterfeit;"sahte, taklit; sahte şey; sahtesini yapmak, taklit etmek";"adj.;n.;v.";The police arrested the gang for attempting to pass counterfeit 100-dollar bills at various local businesses around the city center.;Polis, şehir merkezindeki çeşitli yerel işletmelerde sahte 100 dolarlık banknotları sürmeye çalışan çeteyi tutukladı.;"fake; forged; fraudulent";"genuine; authentic; real";B2;"noun; vocabulary";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
counterpart;benzer, emsal;n.;The US president met with his Russian counterpart.;ABD başkanı Rus mevkidaşı ile bir araya geldi.;"equivalent; opposite number; peer";-;B2;"noun; vocabulary";Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
